"Rank"	"LastName"	"FirstName"	"Team"	"Pos"	"GP"	"TOI"	"GF"	"GA"	"GF60"	"GA60"	"GF."	"SF"	"SA"	"Sh."	"Sv."	"PDO"	"CF"	"CA"	"CF60"	"CA60"	"CF."	"CSh."	"CSv."	"CPDO"	"G"	"A"	"FirstA"	"Pts"	"Pri..Pts"	"Shots"	"iCorsi"	"iSh."	"iCSh."	"Goals.per60"	"Assists.per60"	"FirstA.per60"	"Points.per60"	"Pri.Pts..per60"	"Shots.per60"	"iCorsi.per60"	"IGP"	"IAP"	"IPP"	"IPPP"	"X"	"FirstLast"	"TimePerGame"
"176"	"176"	"BELESKEY"	" MATT"	"Boston"	"F(LW)"	80	1268.55	63	47	2.98	2.223	57.27	709	613	8.8858	92.3328	101.2186	1313	1143	62.102	54.062	53.46	4.7982	95.888	100.6862	16	22	11	38	27	169	363	9.4674556213	4.40771349862	0.7568	1.0406	0.5203	1.7973	1.277	7.9934	17.1692	25.4	34.92	60.32	42.86	NA	" MATT BELESKEY"	15.856875
"177"	"177"	"STAFFORD"	" DREW"	"Winnipeg"	"F(RW)"	78	1393.35	56	80	2.411	3.445	41.18	712	625	7.8652	87.2	95.0652	1279	1135	55.076	48.875	52.98	4.3784	92.9515	97.3299	21	17	10	38	31	187	289	11.2299465241	7.26643598616	0.9043	0.732	0.4306	1.6363	1.3349	8.0525	12.4448	37.5	30.36	67.86	55.36	NA	" DREW STAFFORD"	17.8634615384615
"178"	"178"	"VATANEN"	" SAMI"	"Anaheim"	"D"	71	1516.22	77	54	3.047	2.137	58.78	786	670	9.7964	91.9403	101.7367	1541	1310	60.981	51.84	54.05	4.9968	95.8779	100.8747	9	29	13	38	22	140	297	6.42857142857	3.0303030303	0.3561	1.1476	0.5144	1.5037	0.8706	5.5401	11.7529	11.69	37.66	49.35	28.57	NA	" SAMI VATANEN"	21.3552112676056
"179"	"179"	"JOHNSON"	" TYLER"	"Tampa Bay"	"F(C)"	69	1182.62	70	50	3.551	2.537	58.33	666	536	10.5105	90.6716	101.1821	1255	967	63.672	49.061	56.48	5.5777	94.8294	100.4071	14	24	19	38	33	167	292	8.38323353293	4.79452054795	0.7103	1.2176	0.964	1.9279	1.6743	8.4727	14.8146	20	34.29	54.29	47.14	NA	" TYLER JOHNSON"	17.1394202898551
"180"	"180"	"LINDHOLM"	" ELIAS"	"Carolina"	"F(C)"	82	1484.25	58	62	2.345	2.506	48.33	837	619	6.9295	89.9838	96.9133	1607	1164	64.962	47.054	57.99	3.6092	94.6735	98.2827	10	28	15	38	25	175	294	5.71428571429	3.40136054422	0.4042	1.1319	0.6064	1.5361	1.0106	7.0743	11.8848	17.24	48.28	65.52	43.1	NA	" ELIAS LINDHOLM"	18.1006097560976
"181"	"181"	"BURAKOVSKY"	" ANDRE"	"Washington"	"F(LW)"	79	1028.93	52	43	3.032	2.507	54.74	538	466	9.6654	90.7725	100.4379	1031	900	60.121	52.482	53.39	5.0436	95.2222	100.2658	17	21	8	38	25	126	238	13.4920634921	7.14285714286	0.9913	1.2246	0.4665	2.2159	1.4578	7.3474	13.8785	32.69	40.38	73.08	48.08	NA	" ANDRE BURAKOVSKY"	13.0244303797468
"182"	"182"	"EHLERS"	" NIKOLAJ"	"Winnipeg"	"F(LW)"	72	1159.27	63	43	3.261	2.226	59.43	665	482	9.4737	91.0788	100.5525	1234	892	63.868	46.167	58.04	5.1053	95.1794	100.2847	15	22	15	37	30	167	304	8.98203592814	4.93421052632	0.7764	1.1387	0.7764	1.915	1.5527	8.6434	15.7341	23.81	34.92	58.73	47.62	NA	" NIKOLAJ EHLERS"	16.1009722222222
"183"	"183"	"PIETRANGELO"	" ALEX"	"St. Louis"	"D"	73	1920.25	81	81	2.531	2.531	50	965	1040	8.3938	92.2115	100.6053	1696	1852	52.993	57.867	47.8	4.7759	95.6264	100.4023	7	30	19	37	26	182	319	3.84615384615	2.19435736677	0.2187	0.9374	0.5937	1.1561	0.8124	5.6868	9.9675	8.64	37.04	45.68	32.1	NA	" ALEX PIETRANGELO"	26.3047945205479
"184"	"184"	"FABBRI"	" ROBBY"	"St. Louis"	"F(C)"	72	958.683	49	40	3.067	2.503	55.06	530	445	9.2453	91.0112	100.2565	945	781	59.144	48.88	54.75	5.1852	94.8784	100.0636	18	19	8	37	26	114	193	15.7894736842	9.32642487047	1.1265	1.1891	0.5007	2.3157	1.6272	7.1348	12.0791	36.73	38.78	75.51	53.06	NA	" ROBBY FABBRI"	13.3150416666667
"185"	"185"	"SMITH"	" CRAIG"	"Nashville"	"F(C)"	82	1244.43	67	48	3.23	2.314	58.26	742	507	9.0296	90.5325	99.5621	1368	893	65.958	43.056	60.5	4.8977	94.6249	99.5226	21	16	14	37	35	199	347	10.5527638191	6.05187319885	1.0125	0.7714	0.675	1.7839	1.6875	9.5947	16.7305	31.34	23.88	55.22	52.24	NA	" CRAIG SMITH"	15.1759756097561
"186"	"186"	"FAULK"	" JUSTIN"	"Carolina"	"D"	64	1538.72	70	84	2.73	3.275	45.45	832	752	8.4135	88.8298	97.2433	1576	1311	61.454	51.121	54.59	4.4416	93.5927	98.0343	16	21	10	37	26	184	394	8.69565217391	4.06091370558	0.6239	0.8189	0.3899	1.4428	1.0138	7.1748	15.3635	22.86	30	52.86	37.14	NA	" JUSTIN FAULK"	24.0425
"187"	"187"	"CHARA"	" ZDENO"	"Boston"	"D"	80	1927.75	88	96	2.739	2.988	47.83	946	1013	9.3023	90.5232	99.8255	1698	1955	52.849	60.848	46.48	5.1826	95.0895	100.2721	9	28	15	37	24	158	312	5.69620253165	2.88461538462	0.2801	0.8715	0.4669	1.1516	0.747	4.9177	9.7108	10.23	31.82	42.05	27.27	NA	" ZDENO CHARA"	24.096875
"188"	"188"	"RIEDER"	" TOBIAS"	"Arizona"	"F(C)"	82	1414.63	56	81	2.375	3.436	40.88	686	709	8.1633	88.5755	96.7388	1363	1337	57.81	56.707	50.48	4.1086	93.9417	98.0503	14	23	14	37	28	188	347	7.44680851064	4.03458213256	0.5938	0.9755	0.5938	1.5693	1.1876	7.9738	14.7176	25	41.07	66.07	50	NA	" TOBIAS RIEDER"	17.2515853658537
"189"	"189"	"FOLIGNO"	" NICK"	"Columbus"	"F(LW)"	72	1216.02	56	54	2.763	2.664	50.91	648	528	8.642	89.7727	98.4147	1175	941	57.976	46.43	55.53	4.766	94.2614	99.0274	12	25	13	37	25	149	244	8.05369127517	4.91803278689	0.5921	1.2335	0.6414	1.8256	1.2335	7.3519	12.0393	21.43	44.64	66.07	44.64	NA	" NICK FOLIGNO"	16.8891666666667
"190"	"190"	"GOLIGOSKI"	" ALEX"	"Dallas"	"D"	82	1954.13	112	92	3.439	2.825	54.9	1073	968	10.438	90.4959	100.9339	2083	1902	63.957	58.399	52.27	5.3769	95.163	100.5399	5	31	13	36	18	127	298	3.93700787402	1.67785234899	0.1535	0.9518	0.3992	1.1053	0.5527	3.8994	9.1498	4.46	27.68	32.14	16.07	NA	" ALEX GOLIGOSKI"	23.8308536585366
"191"	"191"	"COMEAU"	" BLAKE"	"Colorado"	"F(LW)"	81	1426.68	55	66	2.313	2.776	45.45	646	707	8.5139	90.6648	99.1787	1161	1390	48.827	58.457	45.51	4.7373	95.2518	99.9891	12	24	11	36	23	141	250	8.51063829787	4.8	0.5047	1.0093	0.4626	1.514	0.9673	5.9298	10.5139	21.82	43.64	65.45	41.82	NA	" BLAKE COMEAU"	17.6133333333333
"192"	"192"	"COUTURE"	" LOGAN"	"San Jose"	"F(C)"	52	903.233	62	35	4.119	2.325	63.92	541	327	11.4603	89.2966	100.7569	1042	673	69.218	44.706	60.76	5.9501	94.7994	100.7495	15	21	11	36	26	137	257	10.9489051095	5.83657587549	0.9964	1.395	0.7307	2.3914	1.7271	9.1006	17.072	24.19	33.87	58.06	41.94	NA	" LOGAN COUTURE"	17.3698653846154
"193"	"193"	"DONSKOI"	" JOONAS"	"San Jose"	"F(RW)"	76	1075.62	55	37	3.068	2.064	59.78	565	423	9.7345	91.253	100.9875	1069	844	59.631	47.08	55.88	5.145	95.6161	100.7611	11	25	16	36	27	104	185	10.5769230769	5.94594594595	0.6136	1.3945	0.8925	2.0082	1.5061	5.8013	10.3197	20	45.45	65.45	49.09	NA	" JOONAS DONSKOI"	14.1528947368421
"194"	"194"	"POULIOT"	" BENOIT"	"Edmonton"	"F(LW)"	55	882.65	52	42	3.535	2.855	55.32	492	395	10.5691	89.3671	99.9362	937	703	63.695	47.788	57.13	5.5496	94.0256	99.5752	14	22	12	36	26	109	174	12.8440366972	8.04597701149	0.9517	1.4955	0.8157	2.4472	1.7674	7.4095	11.828	26.92	42.31	69.23	50	NA	" BENOIT POULIOT"	16.0481818181818
"195"	"195"	"STONE"	" MICHAEL"	"Arizona"	"D"	75	1697.8	78	84	2.757	2.969	48.15	837	884	9.319	90.4977	99.8167	1595	1610	56.367	56.897	49.77	4.8903	94.7826	99.6729	6	30	14	36	20	161	364	3.72670807453	1.64835164835	0.212	1.0602	0.4948	1.2722	0.7068	5.6897	12.8637	7.69	38.46	46.15	25.64	NA	" MICHAEL STONE"	22.6373333333333
"196"	"196"	"PERRON"	" DAVID"	"Anaheim"	"F(LW)"	71	1080.07	60	40	3.333	2.222	60	637	473	9.4192	91.5433	100.9625	1167	866	64.829	48.108	57.4	5.1414	95.3811	100.5225	12	24	15	36	27	147	240	8.16326530612	5	0.6666	1.3333	0.8333	1.9999	1.4999	8.1662	13.3325	20	40	60	45	NA	" DAVID PERRON"	15.2122535211268
"197"	"197"	"POMINVILLE"	" JASON"	"Minnesota"	"F(RW)"	75	1224.27	63	33	3.088	1.617	65.62	745	513	8.4564	93.5673	102.0237	1341	1007	65.721	49.352	57.11	4.698	96.7229	101.4209	11	25	10	36	21	187	285	5.88235294118	3.85964912281	0.5391	1.2252	0.4901	1.7643	1.0292	9.1647	13.9675	17.46	39.68	57.14	33.33	NA	" JASON POMINVILLE"	16.3236
"198"	"198"	"NASH"	" RICK"	"NY Rangers"	"F(LW)"	60	1016.37	60	46	3.542	2.716	56.6	526	508	11.4068	90.9449	102.3517	1023	963	60.392	56.85	51.51	5.8651	95.2233	101.0884	15	21	11	36	26	183	320	8.19672131148	4.6875	0.8855	1.2397	0.6494	2.1252	1.5349	10.8032	18.8908	25	35	60	43.33	NA	" RICK NASH"	16.9395
"199"	"199"	"KOMAROV"	" LEO"	"Toronto"	"F(C)"	67	1194.95	54	59	2.711	2.962	47.79	676	541	7.9882	89.0943	97.0825	1333	1019	66.932	51.165	56.68	4.051	94.21	98.261	19	17	7	36	26	130	217	14.6153846154	8.75576036866	0.954	0.8536	0.3515	1.8076	1.3055	6.5275	10.8959	35.19	31.48	66.67	48.15	NA	" LEO KOMAROV"	17.8350746268657
"200"	"200"	"LEE"	" ANDERS"	"NY Islanders"	"F(C)"	80	1166.28	66	38	3.395	1.955	63.46	704	489	9.375	92.229	101.604	1334	939	68.628	48.307	58.69	4.9475	95.9531	100.9006	15	21	13	36	28	183	282	8.19672131148	5.31914893617	0.7717	1.0804	0.6688	1.852	1.4405	9.4145	14.5076	22.73	31.82	54.55	42.42	NA	" ANDERS LEE"	14.5785
"201"	"201"	"PEARSON"	" TANNER"	"Los Angeles"	"F(LW)"	79	1142.38	51	43	2.679	2.258	54.26	583	499	8.7479	91.3828	100.1307	1140	924	59.875	48.53	55.23	4.4737	95.3463	99.82	15	21	14	36	29	137	265	10.9489051095	5.66037735849	0.7878	1.103	0.7353	1.8908	1.5231	7.1955	13.9183	29.41	41.18	70.59	56.86	NA	" TANNER PEARSON"	14.4605063291139
"202"	"202"	"EKBLAD"	" AARON"	"Florida"	"D"	78	1691.27	93	61	3.299	2.164	60.39	878	692	10.5923	91.185	101.7773	1520	1231	53.924	43.671	55.25	6.1184	95.0447	101.1631	15	21	8	36	23	182	324	8.24175824176	4.62962962963	0.5321	0.745	0.2838	1.2771	0.816	6.4567	11.4943	16.13	22.58	38.71	24.73	NA	" AARON EKBLAD"	21.6829487179487
"203"	"203"	"HAYES"	" KEVIN"	"NY Rangers"	"F(RW)"	79	1079.37	51	38	2.835	2.112	57.3	561	489	9.0909	92.229	101.3199	1026	920	57.033	51.141	52.72	4.9708	95.8696	100.8404	14	22	14	36	28	133	245	10.5263157895	5.71428571429	0.7782	1.2229	0.7782	2.0012	1.5565	7.3932	13.6191	27.45	43.14	70.59	54.9	NA	" KEVIN HAYES"	13.6629113924051
"204"	"204"	"BENNETT"	" SAM"	"Calgary"	"F(C)"	77	1164.92	53	53	2.73	2.73	50	592	526	8.9527	89.924	98.8767	1156	1005	59.541	51.763	53.49	4.5848	94.7264	99.3112	18	18	12	36	30	136	239	13.2352941176	7.53138075314	0.9271	0.9271	0.6181	1.8542	1.5452	7.0048	12.3099	33.96	33.96	67.92	56.6	NA	" SAM BENNETT"	15.1288311688312
"205"	"205"	"SMITH"	" ZACK"	"Ottawa"	"F(C)"	81	1245.93	60	48	2.889	2.312	55.56	614	612	9.772	92.1569	101.9289	1212	1142	58.366	54.995	51.49	4.9505	95.7968	100.7473	24	11	7	35	31	120	219	20	10.9589041096	1.1558	0.5297	0.3371	1.6855	1.4929	5.7788	10.5463	40	18.33	58.33	51.67	NA	" ZACK SMITH"	15.3818518518519
"206"	"206"	"BOZAK"	" TYLER"	"Toronto"	"F(C)"	57	988.467	50	45	3.035	2.732	52.63	582	498	8.5911	90.9639	99.555	1198	868	72.719	52.688	57.99	4.1736	94.8157	98.9893	12	23	12	35	24	99	183	12.1212121212	6.55737704918	0.7284	1.3961	0.7284	2.1245	1.4568	6.0093	11.1081	24	46	70	48	NA	" TYLER BOZAK"	17.3415263157895
"207"	"207"	"KANE"	" EVANDER"	"Buffalo"	"F(LW)"	65	1367.42	51	62	2.238	2.72	45.13	773	642	6.5977	90.3427	96.9404	1372	1169	60.201	51.294	53.99	3.7172	94.6963	98.4135	20	15	9	35	29	271	472	7.38007380074	4.23728813559	0.8776	0.6582	0.3949	1.5357	1.2725	11.891	20.7106	39.22	29.41	68.63	56.86	NA	" EVANDER KANE"	21.0372307692308
"208"	"208"	"EAKIN"	" CODY"	"Dallas"	"F(C)"	82	1342.18	60	65	2.682	2.906	48	631	671	9.5087	90.313	99.8217	1227	1354	54.851	60.528	47.54	4.89	95.1994	100.0894	16	19	13	35	29	133	231	12.030075188	6.92640692641	0.7153	0.8494	0.5811	1.5646	1.2964	5.9455	10.3265	26.67	31.67	58.33	48.33	NA	" CODY EAKIN"	16.3680487804878
"209"	"209"	"EKHOLM"	" MATTIAS"	"Nashville"	"D"	82	1658.97	79	67	2.857	2.423	54.11	785	698	10.0637	90.4011	100.4648	1432	1309	51.791	47.343	52.24	5.5168	94.8816	100.3984	9	26	11	35	20	115	246	7.82608695652	3.65853658537	0.3255	0.9403	0.3978	1.2658	0.7233	4.1592	8.8971	11.39	32.91	44.3	25.32	NA	" MATTIAS EKHOLM"	20.2313414634146
"210"	"210"	"TANGUAY"	" ALEX"	"Arizona"	"F(LW)"	70	1105.33	64	43	3.474	2.334	59.81	603	564	10.6136	92.3759	102.9895	1079	1091	58.571	59.222	49.72	5.9314	96.0587	101.9901	8	27	16	35	24	71	124	11.2676056338	6.45161290323	0.4343	1.4656	0.8685	1.8999	1.3028	3.854	6.731	12.5	42.19	54.69	37.5	NA	" ALEX TANGUAY"	15.7904285714286
"211"	"211"	"RIELLY"	" MORGAN"	"Toronto"	"D"	82	1904.62	84	111	2.646	3.497	43.08	965	1041	8.7047	89.3372	98.0419	1942	1878	61.178	59.162	50.84	4.3254	94.0895	98.4149	9	26	8	35	17	167	423	5.38922155689	2.12765957447	0.2835	0.8191	0.252	1.1026	0.5355	5.2609	13.3255	10.71	30.95	41.67	20.24	NA	" MORGAN RIELLY"	23.2270731707317
"212"	"212"	"TERAVAINEN"	" TEUVO"	"Chicago"	"F(LW)"	78	1196.9	50	43	2.506	2.156	53.76	605	545	8.2645	92.1101	100.3746	1068	977	53.538	48.977	52.22	4.6816	95.5988	100.2804	13	22	15	35	28	136	245	9.55882352941	5.30612244898	0.6517	1.1028	0.7519	1.7545	1.4036	6.8176	12.2817	26	44	70	56	NA	" TEUVO TERAVAINEN"	15.3448717948718
"213"	"213"	"NAMESTNIKOV"	" VLADISLAV"	"Tampa Bay"	"F(C)"	80	1128.55	54	29	2.871	1.542	65.06	594	444	9.0909	93.4685	102.5594	1120	804	59.545	42.745	58.21	4.8214	96.393	101.2144	14	21	11	35	25	106	177	13.2075471698	7.90960451977	0.7443	1.1165	0.5848	1.8608	1.3291	5.6356	9.4103	25.93	38.89	64.81	46.3	NA	" VLADISLAV NAMESTNIKOV"	14.106875
"214"	"214"	"BEAUCHEMIN"	" FRANCOIS"	"Colorado"	"D"	82	2055.2	80	101	2.336	2.949	44.2	921	1105	8.6862	90.8597	99.5459	1610	2265	47.003	66.125	41.55	4.9689	95.5408	100.5097	8	26	6	34	14	126	263	6.34920634921	3.04182509506	0.2336	0.7591	0.1752	0.9926	0.4087	3.6785	7.6781	10	32.5	42.5	17.5	NA	" FRANCOIS BEAUCHEMIN"	25.0634146341463
"215"	"215"	"MCDONAGH"	" RYAN"	"NY Rangers"	"D"	73	1631.72	95	81	3.493	2.978	53.98	788	818	12.0558	90.0978	102.1536	1447	1619	53.208	59.532	47.2	6.5653	94.9969	101.5622	9	25	16	34	25	113	262	7.96460176991	3.43511450382	0.3309	0.9193	0.5883	1.2502	0.9193	4.1551	9.634	9.47	26.32	35.79	26.32	NA	" RYAN MCDONAGH"	22.3523287671233
"216"	"216"	"SHAW"	" ANDREW"	"Chicago"	"F(C)"	78	1142.78	56	29	2.94	1.523	65.88	662	503	8.4592	94.2346	102.6938	1224	956	64.264	50.193	56.15	4.5752	96.9665	101.5417	14	20	8	34	22	153	275	9.15032679739	5.09090909091	0.735	1.0501	0.42	1.7851	1.1551	8.033	14.4384	25	35.71	60.71	39.29	NA	" ANDREW SHAW"	14.6510256410256
"217"	"217"	"STRALMAN"	" ANTON"	"Tampa Bay"	"D"	73	1609.95	75	55	2.795	2.05	57.69	827	723	9.0689	92.3928	101.4617	1505	1324	56.089	49.343	53.2	4.9834	95.8459	100.8293	9	25	10	34	19	127	247	7.08661417323	3.64372469636	0.3354	0.9317	0.3727	1.2671	0.7081	4.7331	9.2053	12	33.33	45.33	25.33	NA	" ANTON STRALMAN"	22.0541095890411
"218"	"218"	"GREEN"	" MIKE"	"Detroit"	"D"	74	1462.78	76	54	3.117	2.215	58.46	855	597	8.8889	90.9548	99.8437	1564	1000	64.152	41.018	61	4.8593	94.6	99.4593	7	27	12	34	19	124	255	5.64516129032	2.74509803922	0.2871	1.1075	0.4922	1.3946	0.7793	5.0862	10.4595	9.21	35.53	44.74	25	NA	" MIKE GREEN"	19.7672972972973
"219"	"219"	"BJUGSTAD"	" NICK"	"Florida"	"F(C)"	67	1039.2	57	45	3.291	2.598	55.88	581	453	9.8107	90.0662	99.8769	1034	793	59.7	45.785	56.6	5.5126	94.3253	99.8379	15	19	14	34	29	171	274	8.77192982456	5.47445255474	0.8661	1.097	0.8083	1.963	1.6744	9.873	15.8199	26.32	33.33	59.65	50.88	NA	" NICK BJUGSTAD"	15.510447761194
"220"	"220"	"HAULA"	" ERIK"	"Minnesota"	"F(LW)"	76	966.233	45	40	2.794	2.484	52.94	379	489	11.8734	91.82	103.6934	663	995	41.17	61.786	39.99	6.7873	95.9799	102.7672	14	20	13	34	27	100	164	14	8.53658536585	0.8694	1.2419	0.8073	2.1113	1.6766	6.2097	10.1839	31.11	44.44	75.56	60	NA	" ERIK HAULA"	12.7135921052632
"221"	"221"	"LEHTERA"	" JORI"	"St. Louis"	"F(C)"	79	1270.53	68	42	3.211	1.983	61.82	674	573	10.089	92.6702	102.7592	1230	1035	58.086	48.877	54.3	5.5285	95.942	101.4705	9	25	11	34	20	83	140	10.843373494	6.42857142857	0.425	1.1806	0.5195	1.6056	0.9445	3.9196	6.6114	13.24	36.76	50	29.41	NA	" JORI LEHTERA"	16.0826582278481
"222"	"222"	"GIONTA"	" BRIAN"	"Buffalo"	"F(RW)"	79	1400.87	53	55	2.27	2.356	49.07	695	747	7.6259	92.6372	100.2631	1242	1360	53.196	58.25	47.73	4.2673	95.9559	100.2232	12	21	15	33	27	169	275	7.10059171598	4.36363636364	0.514	0.8994	0.6425	1.4134	1.1564	7.2384	11.7784	22.64	39.62	62.26	50.94	NA	" BRIAN GIONTA"	17.7325316455696
"223"	"223"	"PARAYKO"	" COLTON"	"St. Louis"	"D"	79	1530.97	85	43	3.331	1.685	66.41	823	643	10.3281	93.3126	103.6407	1498	1212	58.708	47.499	55.28	5.6742	96.4521	102.1263	9	24	14	33	23	165	350	5.45454545455	2.57142857143	0.3527	0.9406	0.5487	1.2933	0.9014	6.4665	13.7168	10.59	28.24	38.82	27.06	NA	" COLTON PARAYKO"	19.3793670886076
"224"	"224"	"NUGENT-HOPKINS"	" RYAN"	"Edmonton"	"F(C)"	55	1048.03	56	54	3.206	3.092	50.91	547	528	10.2377	89.7727	100.0104	1052	952	60.227	54.502	52.5	5.3232	94.3277	99.6509	12	21	15	33	27	109	215	11.0091743119	5.58139534884	0.687	1.2023	0.8588	1.8893	1.5458	6.2403	12.3088	21.43	37.5	58.93	48.21	NA	" RYAN NUGENT-HOPKINS"	19.0550909090909
"225"	"225"	"HOSSA"	" MARIAN"	"Chicago"	"F(RW)"	64	1104.38	48	41	2.608	2.227	53.93	578	536	8.3045	92.3507	100.6552	1071	972	58.186	52.808	52.42	4.4818	95.7819	100.2637	13	20	14	33	27	191	307	6.80628272251	4.2345276873	0.7063	1.0866	0.7606	1.7929	1.4669	10.3768	16.679	27.08	41.67	68.75	56.25	NA	" MARIAN HOSSA"	17.2559375
"226"	"226"	"CULLEN"	" MATT"	"Pittsburgh"	"F(C)"	82	1138.18	43	53	2.267	2.794	44.79	502	652	8.5657	91.8712	100.4369	873	1185	46.021	62.468	42.42	4.9255	95.5274	100.4529	16	16	11	32	27	118	183	13.5593220339	8.74316939891	0.8434	0.8434	0.5799	1.6869	1.4233	6.2204	9.647	37.21	37.21	74.42	62.79	NA	" MATT CULLEN"	13.880243902439
"227"	"227"	"PHANEUF"	" DION"	"Ottawa"	"D"	71	1584.85	62	71	2.347	2.688	46.62	842	789	7.3634	91.0013	98.3647	1669	1424	63.186	53.91	53.96	3.7148	95.014	98.7288	4	28	16	32	20	144	358	2.77777777778	1.11731843575	0.1514	1.06	0.6057	1.2115	0.7572	5.4516	13.5533	6.45	45.16	51.61	32.26	NA	" DION PHANEUF"	22.3218309859155
"228"	"228"	"BAILEY"	" JOSH"	"NY Islanders"	"F(C)"	81	1283.8	52	55	2.43	2.57	48.6	607	620	8.5667	91.129	99.6957	1198	1165	55.99	54.448	50.7	4.3406	95.279	99.6196	12	20	11	32	23	105	190	11.4285714286	6.31578947368	0.5608	0.9347	0.5141	1.4956	1.0749	4.9073	8.8799	23.08	38.46	61.54	44.23	NA	" JOSH BAILEY"	15.8493827160494
"229"	"229"	"ELLIS"	" RYAN"	"Nashville"	"D"	79	1650.77	79	64	2.871	2.326	55.24	843	660	9.3713	90.303	99.6743	1538	1250	55.901	45.433	55.16	5.1365	94.88	100.0165	10	22	14	32	24	152	297	6.57894736842	3.367003367	0.3635	0.7996	0.5089	1.1631	0.8723	5.5247	10.795	12.66	27.85	40.51	30.38	NA	" RYAN ELLIS"	20.8958227848101
"230"	"230"	"COGLIANO"	" ANDREW"	"Anaheim"	"F(C)"	82	1183.4	43	50	2.18	2.535	46.24	550	584	7.8182	91.4384	99.2566	1028	1085	52.121	55.011	48.65	4.1829	95.3917	99.5746	9	23	12	32	21	131	230	6.87022900763	3.91304347826	0.4563	1.1661	0.6084	1.6224	1.0647	6.6419	11.6613	20.93	53.49	74.42	48.84	NA	" ANDREW COGLIANO"	14.4317073170732
"231"	"231"	"NISKANEN"	" MATT"	"Washington"	"D"	82	2022.27	93	78	2.759	2.314	54.39	967	954	9.6174	91.8239	101.4413	1838	1886	54.533	55.957	49.36	5.0598	95.8643	100.9241	6	26	11	32	17	151	336	3.97350993377	1.78571428571	0.178	0.7714	0.3264	0.9494	0.5044	4.4801	9.969	6.45	27.96	34.41	18.28	NA	" MATT NISKANEN"	24.6618292682927
"232"	"232"	"FILPPULA"	" VALTTERI"	"Tampa Bay"	"F(C)"	76	1387.38	54	53	2.335	2.292	50.47	697	655	7.7475	91.9084	99.6559	1295	1206	56.005	52.156	51.78	4.1699	95.6053	99.7752	8	23	12	31	20	100	161	8	4.96894409938	0.346	0.9947	0.519	1.3407	0.8649	4.3247	6.9627	14.81	42.59	57.41	37.04	NA	" VALTTERI FILPPULA"	18.255
"233"	"233"	"FROLIK"	" MICHAEL"	"Calgary"	"F(RW)"	64	1011.77	43	56	2.55	3.321	43.43	499	507	8.6172	88.9546	97.5718	944	1034	55.981	61.318	47.72	4.5551	94.5841	99.1392	15	16	9	31	24	155	269	9.67741935484	5.57620817844	0.8895	0.9488	0.5337	1.8384	1.4233	9.1918	15.9523	34.88	37.21	72.09	55.81	NA	" MICHAEL FROLIK"	15.80890625
"234"	"234"	"RICHARDSON"	" BRAD"	"Arizona"	"F(RW)"	82	1280.95	47	58	2.201	2.717	44.76	516	746	9.1085	92.2252	101.3337	1036	1378	48.526	64.546	42.92	4.5367	95.791	100.3277	11	20	12	31	23	117	209	9.40170940171	5.26315789474	0.5152	0.9368	0.5621	1.452	1.0773	5.4803	9.7896	23.4	42.55	65.96	48.94	NA	" BRAD RICHARDSON"	15.6213414634146
"235"	"235"	"MARTINEZ"	" ALEC"	"Los Angeles"	"D"	78	1649.75	85	62	3.091	2.255	57.82	839	781	10.1311	92.0615	102.1926	1698	1554	61.755	56.518	52.21	5.0059	96.0103	101.0162	10	21	13	31	23	124	313	8.06451612903	3.19488817891	0.3637	0.7638	0.4728	1.1274	0.8365	4.5098	11.3835	11.76	24.71	36.47	27.06	NA	" ALEC MARTINEZ"	21.150641025641
"236"	"236"	"GARDINER"	" JAKE"	"Toronto"	"D"	79	1629.05	67	67	2.468	2.468	50	916	738	7.3144	90.9214	98.2358	1831	1322	67.438	48.691	58.07	3.6592	94.9319	98.5911	7	24	11	31	18	122	320	5.73770491803	2.1875	0.2578	0.884	0.4051	1.1418	0.663	4.4934	11.786	10.45	35.82	46.27	26.87	NA	" JAKE GARDINER"	20.6208860759494
"237"	"237"	"CAMPBELL"	" BRIAN"	"Florida"	"D"	82	1826.3	99	58	3.252	1.905	63.06	937	798	10.5656	92.7318	103.2974	1621	1376	53.255	45.206	54.09	6.1073	95.7849	101.8922	6	25	12	31	18	99	199	6.06060606061	3.01507537688	0.1971	0.8213	0.3942	1.0185	0.5914	3.2525	6.5378	6.06	25.25	31.31	18.18	NA	" BRIAN CAMPBELL"	22.2719512195122
"238"	"238"	"JONES"	" SETH"	"Columbus"	"D"	81	1788.2	65	80	2.181	2.684	44.83	944	806	6.8856	90.0744	96.96	1758	1554	58.987	52.142	53.08	3.6974	94.852	98.5494	3	28	12	31	15	157	344	1.91082802548	0.872093023256	0.1007	0.9395	0.4026	1.0402	0.5033	5.2679	11.5423	4.62	43.08	47.69	23.08	NA	" SETH JONES"	22.0765432098765
"239"	"239"	"RAFFL"	" MICHAEL"	"Philadelphia"	"F(LW)"	82	1172.55	48	36	2.456	1.842	57.14	615	527	7.8049	93.1689	100.9738	1225	932	62.684	47.691	56.79	3.9184	96.1373	100.0557	13	18	10	31	23	132	239	9.84848484848	5.43933054393	0.6652	0.9211	0.5117	1.5863	1.1769	6.7545	12.2298	27.08	37.5	64.58	47.92	NA	" MICHAEL RAFFL"	14.2993902439024
