"Rank"	"LastName"	"FirstName"	"Team"	"Pos"	"GP"	"TOI"	"GF"	"GA"	"GF60"	"GA60"	"GF."	"SF"	"SA"	"Sh."	"Sv."	"PDO"	"CF"	"CA"	"CF60"	"CA60"	"CF."	"CSh."	"CSv."	"CPDO"	"G"	"A"	"FirstA"	"Pts"	"Pri..Pts"	"Shots"	"iCorsi"	"iSh."	"iCSh."	"Goals.per60"	"Assists.per60"	"FirstA.per60"	"Points.per60"	"Pri.Pts..per60"	"Shots.per60"	"iCorsi.per60"	"IGP"	"IAP"	"IPP"	"IPPP"	"X"	"FirstLast"	"TimePerGame"
"126"	"126"	"BACKES"	" DAVID"	"St. Louis"	"F(RW)"	79	1518.88	76	56	3.002	2.212	57.58	800	731	9.5	92.3393	101.8393	1433	1338	56.607	52.855	51.71	5.3036	95.8147	101.1183	21	24	17	45	38	168	270	12.5	7.77777777778	0.8296	0.9481	0.6715	1.7776	1.5011	6.6365	10.6657	27.63	31.58	59.21	50	NA	" DAVID BACKES"	19.2263291139241
"127"	"127"	"MARKOV"	" ANDREI"	"Montreal"	"D"	82	1953.13	99	95	3.041	2.918	51.03	1013	1003	9.773	90.5284	100.3014	1929	1762	59.259	54.128	52.26	5.1322	94.6084	99.7406	5	39	23	44	28	117	287	4.2735042735	1.74216027875	0.1536	1.1981	0.7066	1.3517	0.8602	3.5942	8.8166	5.05	39.39	44.44	28.28	NA	" ANDREI MARKOV"	23.8186585365854
"128"	"128"	"SHATTENKIRK"	" KEVIN"	"St. Louis"	"D"	72	1614.1	81	72	3.011	2.676	52.94	829	733	9.7708	90.1774	99.9482	1536	1347	57.097	50.071	53.28	5.2734	94.6548	99.9282	14	30	18	44	32	180	350	7.77777777778	4	0.5204	1.1152	0.6691	1.6356	1.1895	6.691	13.0103	17.28	37.04	54.32	39.51	NA	" KEVIN SHATTENKIRK"	22.4180555555556
"129"	"129"	"COLBORNE"	" JOE"	"Calgary"	"F(C)"	73	1106.22	63	63	3.417	3.417	50	583	507	10.8062	87.574	98.3802	1105	980	59.934	53.154	53	5.7014	93.5714	99.2728	19	25	15	44	34	100	163	19	11.6564417178	1.0305	1.356	0.8136	2.3865	1.8441	5.4239	8.8409	30.16	39.68	69.84	53.97	NA	" JOE COLBORNE"	15.153698630137
"130"	"130"	"GRANLUND"	" MIKAEL"	"Minnesota"	"F(C)"	82	1483.02	65	58	2.63	2.347	52.85	850	675	7.6471	91.4074	99.0545	1542	1269	62.386	51.341	54.86	4.2153	95.4295	99.6448	13	31	25	44	38	160	272	8.125	4.77941176471	0.526	1.2542	1.0115	1.7802	1.5374	6.4733	11.0046	20	47.69	67.69	58.46	NA	" MIKAEL GRANLUND"	18.0856097560976
"131"	"131"	"PURCELL"	" TEDDY"	"Florida"	"F(RW)"	76	1277.5	63	64	2.959	3.006	49.61	669	566	9.417	88.6926	98.1096	1264	1045	59.366	49.08	54.74	4.9842	93.8756	98.8598	14	29	15	43	29	149	283	9.39597315436	4.94699646643	0.6575	1.362	0.7045	2.0196	1.362	6.998	13.2916	22.22	46.03	68.25	46.03	NA	" TEDDY PURCELL"	16.8092105263158
"132"	"132"	"WARD"	" JOEL"	"San Jose"	"F(RW)"	79	1340.6	64	73	2.864	3.267	46.72	673	596	9.5097	87.7517	97.2614	1287	1141	57.601	51.067	53.01	4.9728	93.6021	98.5749	21	22	14	43	35	138	231	15.2173913043	9.09090909091	0.9399	0.9846	0.6266	1.9245	1.5665	6.1763	10.3387	32.81	34.38	67.19	54.69	NA	" JOEL WARD"	16.9696202531646
"133"	"133"	"NIEDERREITER"	" NINO"	"Minnesota"	"F(RW)"	82	1271.12	69	43	3.257	2.03	61.61	706	482	9.7734	91.0788	100.8522	1286	922	60.703	43.521	58.24	5.3655	95.3362	100.7017	20	23	13	43	33	159	269	12.5786163522	7.43494423792	0.9441	1.0857	0.6136	2.0297	1.5577	7.5052	12.6975	28.99	33.33	62.32	47.83	NA	" NINO NIEDERREITER"	15.5014634146341
"134"	"134"	"NYQUIST"	" GUSTAV"	"Detroit"	"F(C)"	82	1244.25	67	47	3.231	2.266	58.77	716	490	9.3575	90.4082	99.7657	1320	809	63.653	39.011	62	5.0758	94.1904	99.2662	18	25	16	43	34	162	263	11.1111111111	6.84410646388	0.868	1.2055	0.7715	2.0735	1.6395	7.8119	12.6823	26.87	37.31	64.18	50.75	NA	" GUSTAV NYQUIST"	15.1737804878049
"135"	"135"	"HAMILTON"	" DOUGIE"	"Calgary"	"D"	82	1620.65	76	73	2.814	2.703	51.01	936	739	8.1197	90.1218	98.2415	1727	1474	63.937	54.571	53.95	4.4007	95.0475	99.4482	12	31	11	43	23	189	380	6.34920634921	3.15789473684	0.4443	1.1477	0.4072	1.592	0.8515	6.9972	14.0684	15.79	40.79	56.58	30.26	NA	" DOUGIE HAMILTON"	19.7640243902439
"136"	"136"	"RAKELL"	" RICKARD"	"Anaheim"	"F(RW)"	72	1157.13	69	49	3.578	2.541	58.47	683	474	10.1025	89.6624	99.7649	1259	863	65.282	44.749	59.33	5.4805	94.3221	99.8026	20	23	13	43	33	170	308	11.7647058824	6.49350649351	1.037	1.1926	0.6741	2.2296	1.7111	8.8149	15.9705	28.99	33.33	62.32	47.83	NA	" RICKARD RAKELL"	16.07125
"137"	"137"	"MILLER"	" J.T."	"NY Rangers"	"F(C)"	82	1232.85	60	44	2.92	2.141	57.69	603	522	9.9502	91.5709	101.5211	1188	1069	57.817	52.026	52.64	5.0505	95.884	100.9345	22	21	12	43	34	135	253	16.2962962963	8.69565217391	1.0707	1.022	0.584	2.0927	1.6547	6.5701	12.3129	36.67	35	71.67	56.67	NA	" J.T. MILLER"	15.034756097561
"138"	"138"	"PAGEAU"	" JEAN-GABRIEL"	"Ottawa"	"F(C)"	82	1368.13	62	68	2.719	2.982	47.69	596	750	10.4027	90.9333	101.336	1118	1397	49.03	61.266	44.45	5.5456	95.1324	100.678	19	24	15	43	34	133	212	14.2857142857	8.96226415094	0.8333	1.0525	0.6578	1.8858	1.4911	5.8328	9.2973	30.65	38.71	69.35	54.84	NA	" JEAN-GABRIEL PAGEAU"	16.684512195122
