"Rank"	"LastName"	"FirstName"	"Team"	"Pos"	"GP"	"TOI"	"GF"	"GA"	"GF60"	"GA60"	"GF."	"SF"	"SA"	"Sh."	"Sv."	"PDO"	"CF"	"CA"	"CF60"	"CA60"	"CF."	"CSh."	"CSv."	"CPDO"	"G"	"A"	"FirstA"	"Pts"	"Pri..Pts"	"Shots"	"iCorsi"	"iSh."	"iCSh."	"Goals.per60"	"Assists.per60"	"FirstA.per60"	"Points.per60"	"Pri.Pts..per60"	"Shots.per60"	"iCorsi.per60"	"IGP"	"IAP"	"IPP"	"IPPP"	"X"	"FirstLast"	"Gratio"	"PtoT"	"AvgPtTime"	"TimePerGame"	"PtsPerGame"	"PlusMin"	"Position"
"158"	"158"	"BJUGSTAD"	" NICK"	"Florida"	"F(C)"	67	823.3	30	35	2.186	2.551	46.15	402	408	7.4627	91.4216	98.8843	703	719	51.233	52.399	49.44	4.2674	95.1321	99.3995	9	8	5	17	14	115	179	7.82608695652	5.02793296089	0.6559	0.583	0.3644	1.2389	1.0203	8.3809	13.0451	30	26.67	56.67	46.67	NA	" NICK BJUGSTAD"	0.0782608695652174	0.0206486092554354	48.4294117647059	12.2880597014925	1.38345682011417	-5	"F(C)"
"159"	"159"	"NYQUIST"	" GUSTAV"	"Detroit"	"F(C)"	82	957.067	38	37	2.382	2.32	50.67	477	438	7.9665	91.5525	99.519	865	726	54.228	45.514	54.37	4.3931	94.9036	99.2967	9	18	12	27	21	110	183	8.18181818182	4.91803278689	0.5642	1.1284	0.7523	1.6927	1.3165	6.8961	11.4726	23.68	47.37	71.05	55.26	NA	" GUSTAV NYQUIST"	0.0818181818181818	0.0282111910660382	35.4469259259259	11.6715487804878	2.31331766741513	1	"F(C)"
"160"	"160"	"BARRIE"	" TYSON"	"Colorado"	"D"	78	1435.35	57	56	2.383	2.341	50.44	657	809	8.6758	93.0779	101.7537	1211	1503	50.622	62.828	44.62	4.7069	96.2741	100.981	9	12	7	21	16	105	227	8.57142857143	3.96475770925	0.3762	0.5016	0.2926	0.8778	0.6688	4.3892	9.489	15.79	21.05	36.84	28.07	NA	" TYSON BARRIE"	0.0857142857142857	0.0146305779078274	68.35	18.4019230769231	1.14118507681053	1	"D"
"161"	"161"	"PIRRI"	" BRANDON"	"Anaheim"	"F(C)"	61	731.833	23	26	1.886	2.132	46.94	327	360	7.0336	92.7778	99.8114	592	654	48.536	53.619	47.51	3.8851	96.0245	99.9096	9	7	4	16	13	95	188	9.47368421053	4.78723404255	0.7379	0.5739	0.3279	1.3118	1.0658	7.7887	15.4133	39.13	30.43	69.57	56.52	NA	" BRANDON PIRRI"	0.0947368421052632	0.0218629113472609	45.7395625	11.997262295082	1.33363759218292	-3	"F(C)"
"162"	"162"	"ROUSSEL"	" ANTOINE"	"Dallas"	"F(LW)"	80	940.533	32	30	2.041	1.914	51.61	484	455	6.6116	93.4066	100.0182	967	930	61.688	59.328	50.98	3.3092	96.7742	100.0834	9	13	7	22	16	101	188	8.91089108911	4.78723404255	0.5741	0.8293	0.4466	1.4035	1.0207	6.4432	11.9932	28.13	40.63	68.75	50	NA	" ANTOINE ROUSSEL"	0.0891089108910891	0.0233909921289311	42.7515	11.7566625	1.87127937031449	2	"F(LW)"
"163"	"163"	"NORDSTROM"	" JOAKIM"	"Carolina"	"F(C)"	71	955.133	28	32	1.759	2.01	46.67	414	435	6.7633	92.6437	99.407	810	820	50.883	51.511	49.69	3.4568	96.0976	99.5544	9	14	8	23	17	78	163	11.5384615385	5.52147239264	0.5654	0.8795	0.5025	1.4448	1.0679	4.8998	10.2394	32.14	50	82.14	60.71	NA	" JOAKIM NORDSTROM"	0.115384615384615	0.024080416025831	41.5275217391304	13.4525774647887	1.709709537834	-4	"F(C)"
"164"	"164"	"CALVERT"	" MATT"	"Columbus"	"F(LW)"	73	920.65	33	30	2.151	1.955	52.38	422	457	7.8199	93.4354	101.2553	749	850	48.813	55.396	46.84	4.4059	96.4706	100.8765	9	13	8	22	17	105	167	8.57142857143	5.38922155689	0.5865	0.8472	0.5214	1.4338	1.1079	6.843	10.8836	27.27	39.39	66.67	51.52	NA	" MATT CALVERT"	0.0857142857142857	0.023896160321512	41.8477272727273	12.6116438356164	1.74441970347037	3	"F(LW)"
"165"	"165"	"GIONTA"	" BRIAN"	"Buffalo"	"F(RW)"	79	1070.85	34	37	1.905	2.073	47.89	508	556	6.6929	93.3453	100.0382	915	1043	51.268	58.44	46.73	3.7158	96.4525	100.1683	9	16	13	25	22	134	222	6.71641791045	4.05405405405	0.5043	0.8965	0.7284	1.4008	1.2327	7.5081	12.4387	26.47	47.06	73.53	64.71	NA	" BRIAN GIONTA"	0.0671641791044776	0.0233459401410095	42.834	13.5550632911392	1.84432927113975	-3	"F(RW)"
"166"	"166"	"STAAL"	" JORDAN"	"Carolina"	"F(C)"	82	1116.12	36	35	1.935	1.882	50.7	531	480	6.7797	92.7083	99.488	1037	892	55.747	47.952	53.76	3.4716	96.0762	99.5478	9	15	12	24	21	100	195	9	4.61538461538	0.4838	0.8064	0.6451	1.2902	1.1289	5.3758	10.4828	25	41.67	66.67	58.33	NA	" JORDAN STAAL"	0.09	0.0215030641866466	46.505	13.6112195121951	1.76325126330502	1	"F(C)"
"167"	"167"	"HANZAL"	" MARTIN"	"Arizona"	"F(C)"	64	808.717	32	28	2.374	2.077	53.33	377	408	8.4881	93.1373	101.6254	754	772	55.94	57.276	49.41	4.244	96.3731	100.6171	9	14	6	23	15	99	160	9.09090909091	5.625	0.6677	1.0387	0.4451	1.7064	1.1129	7.345	11.8707	28.13	43.75	71.88	46.88	NA	" MARTIN HANZAL"	0.0909090909090909	0.0284401094573256	35.1616086956522	12.636203125	1.82016700526884	4	"F(C)"
"168"	"168"	"TERAVAINEN"	" TEUVO"	"Chicago"	"F(LW)"	78	951.05	26	29	1.64	1.83	47.27	474	429	5.4852	93.2401	98.7253	833	789	52.552	49.777	51.36	3.1212	96.3245	99.4457	9	11	7	20	16	108	196	8.33333333333	4.59183673469	0.5678	0.694	0.4416	1.2618	1.0094	6.8135	12.3653	34.62	42.31	76.92	61.54	NA	" TEUVO TERAVAINEN"	0.0833333333333333	0.0210293885705273	47.5525	12.1929487179487	1.64029230850113	-3	"F(LW)"
"169"	"169"	"HAYES"	" JIMMY"	"Boston"	"F(RW)"	75	928.133	31	43	2.004	2.78	41.89	475	490	6.5263	91.2245	97.7508	765	891	49.454	57.599	46.2	4.0523	95.174	99.2263	9	12	4	21	13	117	163	7.69230769231	5.52147239264	0.5818	0.7758	0.2586	1.3576	0.8404	7.5636	10.5373	29.03	38.71	67.74	41.94	NA	" JIMMY HAYES"	0.0769230769230769	0.0226260676002254	44.1968095238095	12.3751066666667	1.6969550700169	-12	"F(RW)"
"170"	"170"	"MARTIN"	" MATT"	"NY Islanders"	"F(LW)"	80	827.667	33	33	2.392	2.392	50	349	386	9.4556	91.4508	100.9064	702	718	50.89	52.05	49.44	4.7009	95.4039	100.1048	9	8	6	17	15	85	140	10.5882352941	6.42857142857	0.6524	0.5799	0.435	1.2324	1.0874	6.1619	10.149	27.27	24.24	51.52	45.45	NA	" MATT MARTIN"	0.105882352941176	0.0205396614822145	48.6862941176471	10.3458375	1.64317291857716	0	"F(LW)"
"171"	"171"	"KADRI"	" NAZEM"	"Toronto"	"F(C)"	76	1091.78	33	50	1.814	2.748	39.76	575	558	5.7391	91.0394	96.7785	1140	1028	62.65	56.495	52.58	2.8947	95.1362	98.0309	9	11	9	20	18	198	341	4.54545454545	2.63929618768	0.4946	0.6045	0.4946	1.0991	0.9892	10.8813	18.74	27.27	33.33	60.61	54.55	NA	" NAZEM KADRI"	0.0454545454545455	0.0183187088973969	54.589	14.3655263157895	1.39222187620217	-17	"F(C)"
"172"	"172"	"COUTURE"	" LOGAN"	"San Jose"	"F(C)"	52	632.15	26	19	2.468	1.803	57.78	296	243	8.7838	92.1811	100.9649	599	529	56.854	50.21	53.1	4.3406	96.4083	100.7489	9	8	5	17	14	87	157	10.3448275862	5.73248407643	0.8542	0.7593	0.4746	1.6135	1.3288	8.2575	14.9015	34.62	30.77	65.38	53.85	NA	" LOGAN COUTURE"	0.103448275862069	0.0268923514988531	37.1852941176471	12.1567307692308	1.39840227794036	7	"F(C)"
"173"	"173"	"KULEMIN"	" NIKOLAI"	"NY Islanders"	"F(LW)"	81	950.2	42	27	2.652	1.705	60.87	446	481	9.417	94.3867	103.8037	828	922	52.284	58.219	47.31	5.0725	97.0716	102.1441	9	12	7	21	16	84	145	10.7142857143	6.20689655172	0.5683	0.7577	0.442	1.326	1.0103	5.3041	9.156	21.43	28.57	50	38.1	NA	" NIKOLAI KULEMIN"	0.107142857142857	0.022100610397811	45.2476190476191	11.7308641975309	1.79014944222269	15	"F(LW)"
"174"	"174"	"RICHARDSON"	" BRAD"	"Arizona"	"F(RW)"	82	1057.72	40	29	2.269	1.645	57.97	454	588	8.8106	95.068	103.8786	915	1083	51.904	61.434	45.8	4.3716	97.3223	101.6939	9	15	9	24	18	103	181	8.73786407767	4.97237569061	0.5105	0.8509	0.5105	1.3614	1.0211	5.8428	10.2674	22.5	37.5	60	45	NA	" BRAD RICHARDSON"	0.087378640776699	0.0226903150172068	44.0716666666667	12.8990243902439	1.86060583141096	11	"F(RW)"
"175"	"175"	"EKBLAD"	" AARON"	"Florida"	"D"	78	1319.6	56	43	2.546	1.955	56.57	620	577	9.0323	92.5477	101.58	1059	1033	48.151	46.969	50.62	5.288	95.8374	101.1254	9	14	6	23	15	120	208	7.5	4.32692307692	0.4092	0.6366	0.2728	1.0458	0.682	5.4562	9.4574	16.07	25	41.07	26.79	NA	" AARON EKBLAD"	0.075	0.0174295240982116	57.3739130434783	16.9179487179487	1.3595028796605	13	"D"
"176"	"176"	"KARLSSON"	" WILLIAM"	"Columbus"	"F(C)"	81	950.717	31	38	1.956	2.398	44.93	440	444	7.0455	91.4414	98.4869	801	815	50.551	51.435	49.57	3.8702	95.3374	99.2076	9	11	6	20	15	100	160	9	5.625	0.568	0.6942	0.3787	1.2622	0.9467	6.311	10.0976	29.03	35.48	64.52	48.39	NA	" WILLIAM KARLSSON"	0.09	0.0210367543653895	47.53585	11.7372469135802	1.70397710359655	-7	"F(C)"
"177"	"177"	"RIEDER"	" TOBIAS"	"Arizona"	"F(C)"	82	1014.38	35	47	2.07	2.78	42.68	480	507	7.2917	90.7298	98.0215	957	977	56.606	57.789	49.48	3.6573	95.1894	98.8467	9	15	11	24	20	145	266	6.20689655172	3.38345864662	0.5323	0.8872	0.6506	1.4196	1.183	8.5766	15.7337	25.71	42.86	68.57	57.14	NA	" TOBIAS RIEDER"	0.0620689655172414	0.0236597724718547	42.2658333333333	12.370487804878	1.94010134269209	-12	"F(C)"
"178"	"178"	"KARLSSON"	" MELKER"	"San Jose"	"F(C)"	65	756.817	23	22	1.823	1.744	51.11	314	329	7.3248	93.3131	100.6379	651	667	51.611	52.879	49.39	3.533	96.7017	100.2347	9	10	6	19	15	86	153	10.4651162791	5.88235294118	0.7135	0.7928	0.4757	1.5063	1.1892	6.818	12.1298	39.13	43.48	82.61	65.22	NA	" MELKER KARLSSON"	0.104651162790698	0.0251051443083335	39.8324736842105	11.6433384615385	1.63183438004167	1	"F(C)"
"179"	"179"	"JOHANSEN"	" RYAN"	"Nashville"	"F(C)"	80	1095.28	45	33	2.465	1.808	57.69	540	507	8.3333	93.4911	101.8244	974	976	53.356	53.466	49.95	4.6201	96.6189	101.239	9	24	13	33	22	120	197	7.5	4.56852791878	0.493	1.3147	0.7121	1.8078	1.2052	6.5736	10.7917	20	53.33	73.33	48.89	NA	" RYAN JOHANSEN"	0.075	0.0301292820100796	33.190303030303	13.691	2.41034256080637	12	"F(C)"
"180"	"180"	"BROWN"	" DUSTIN"	"Los Angeles"	"F(LW)"	82	1082.25	28	33	1.552	1.83	45.9	592	462	4.7297	92.8571	97.5868	1151	820	63.812	45.461	58.4	2.4327	95.9756	98.4083	8	13	8	21	16	196	334	4.08163265306	2.39520958084	0.4435	0.7207	0.4435	1.1642	0.887	10.8663	18.517	28.57	46.43	75	57.14	NA	" DUSTIN BROWN"	0.0408163265306122	0.0194040194040194	51.5357142857143	13.1981707317073	1.59112959112959	-5	"F(LW)"
"181"	"181"	"PLEKANEC"	" TOMAS"	"Montreal"	"F(C)"	82	1081.37	47	39	2.608	2.164	54.65	572	534	8.2168	92.6966	100.9134	1075	961	59.647	53.321	52.8	4.3721	95.9417	100.3138	8	27	14	35	22	119	208	6.72268907563	3.84615384615	0.4439	1.4981	0.7768	1.942	1.2207	6.6028	11.541	17.02	57.45	74.47	46.81	NA	" TOMAS PLEKANEC"	0.0672268907563025	0.0323663500929377	30.8962857142857	13.1874390243902	2.65404070762089	8	"F(C)"
"182"	"182"	"EAKIN"	" CODY"	"Dallas"	"F(C)"	82	1037.6	36	41	2.082	2.371	46.75	504	500	7.1429	91.8	98.9429	980	1012	56.669	58.52	49.2	3.6735	95.9486	99.6221	8	16	10	24	18	99	173	8.08080808081	4.62427745665	0.4626	0.9252	0.5783	1.3878	1.0409	5.7247	10.0039	22.22	44.44	66.67	50	NA	" CODY EAKIN"	0.0808080808080808	0.023130300693909	43.2333333333333	12.6536585365854	1.89668465690054	-5	"F(C)"
"183"	"183"	"IGINLA"	" JAROME"	"Colorado"	"F(RW)"	82	1008.98	35	45	2.081	2.676	43.75	438	556	7.9909	91.9065	99.8974	810	1100	48.167	65.412	42.41	4.321	95.9091	100.2301	8	18	12	26	20	104	192	7.69230769231	4.16666666667	0.4757	1.0704	0.7136	1.5461	1.1893	6.1844	11.4174	22.86	51.43	74.29	57.14	NA	" JAROME IGINLA"	0.0769230769230769	0.0257685979900494	38.8069230769231	12.3046341463415	2.11302503518405	-10	"F(RW)"
"184"	"184"	"LARSSON"	" JOHAN"	"Buffalo"	"F(LW)"	74	966.85	25	27	1.551	1.676	48.08	423	506	5.9102	94.664	100.5742	806	914	50.018	56.72	46.86	3.1017	97.046	100.1477	8	4	2	12	10	74	156	10.8108108108	5.12820512821	0.4965	0.2482	0.1241	0.7447	0.6206	4.5922	9.6809	32	16	48	40	NA	" JOHAN LARSSON"	0.108108108108108	0.012411439209805	80.5708333333333	13.0655405405405	0.918446501525573	-2	"F(LW)"
"185"	"185"	"TERRY"	" CHRIS"	"Carolina"	"F(LW)"	68	714.55	19	28	1.595	2.351	40.43	312	331	6.0897	91.5408	97.6305	592	647	49.71	54.328	47.78	3.2095	95.6723	98.8818	8	3	2	11	10	73	137	10.9589041096	5.83941605839	0.6718	0.2519	0.1679	0.9237	0.8397	6.1297	11.5037	42.11	15.79	57.89	52.63	NA	" CHRIS TERRY"	0.10958904109589	0.0153943041074802	64.9590909090909	10.5080882352941	1.04681267930866	-9	"F(LW)"
"186"	"186"	"VATRANO"	" FRANK"	"Boston"	"F(C)"	39	440.05	13	18	1.773	2.454	41.94	224	189	5.8036	90.4762	96.2798	377	389	51.403	53.039	49.22	3.4483	95.3727	98.821	8	1	1	9	9	93	135	8.60215053763	5.92592592593	1.0908	0.1363	0.1363	1.2271	1.2271	12.6804	18.407	61.54	7.69	69.23	69.23	NA	" FRANK VATRANO"	0.0860215053763441	0.0204522213384843	48.8944444444445	11.2833333333333	0.797636632200886	-5	"F(C)"
"187"	"187"	"GABORIK"	" MARIAN"	"Los Angeles"	"F(RW)"	54	678.083	19	28	1.681	2.478	40.43	371	274	5.1213	89.781	94.9023	690	522	61.054	46.189	56.93	2.7536	94.636	97.3896	8	6	5	14	13	116	176	6.89655172414	4.54545454545	0.7079	0.5309	0.4424	1.2388	1.1503	10.2642	15.5733	42.11	31.58	73.68	68.42	NA	" MARIAN GABORIK"	0.0689655172413793	0.0206464400375765	48.4345	12.5570925925926	1.11490776202913	-9	"F(RW)"
"188"	"188"	"ORLOV"	" DMITRY"	"Washington"	"D"	82	1217.05	59	47	2.909	2.317	55.66	608	553	9.7039	91.5009	101.2048	1169	1028	57.631	50.68	53.21	5.047	95.428	100.475	8	17	9	25	17	82	180	9.75609756098	4.44444444444	0.3944	0.8381	0.4437	1.2325	0.8381	4.0426	8.8739	13.56	28.81	42.37	28.81	NA	" DMITRY ORLOV"	0.0975609756097561	0.0205414732344604	48.682	14.8420731707317	1.68440080522575	12	"D"
"189"	"189"	"VRBATA"	" RADIM"	"Vancouver"	"F(RW)"	63	775.783	20	36	1.547	2.784	35.71	381	412	5.2493	91.2621	96.5114	650	733	50.272	56.691	47	3.0769	95.0887	98.1656	8	6	3	14	11	134	216	5.97014925373	3.7037037037	0.6187	0.464	0.232	1.0828	0.8508	10.3637	16.7057	40	30	70	55	NA	" RADIM VRBATA"	0.0597014925373134	0.0180462835612536	55.4130714285714	12.3140158730159	1.13691586435898	-16	"F(RW)"
"190"	"190"	"BACKES"	" DAVID"	"St. Louis"	"F(RW)"	79	1107.57	35	31	1.896	1.679	53.03	578	509	6.0554	93.9096	99.965	1018	967	55.148	52.385	51.28	3.4381	96.7942	100.2323	8	17	12	25	20	125	211	6.4	3.79146919431	0.4334	0.9209	0.6501	1.3543	1.0835	6.7716	11.4305	22.86	48.57	71.43	57.14	NA	" DAVID BACKES"	0.064	0.022571936762462	44.3028	14.0198734177215	1.7831830042345	4	"F(RW)"
"191"	"191"	"THORNTON"	" JOE"	"San Jose"	"F(C)"	82	1121.6	65	27	3.477	1.444	70.65	608	441	10.6908	93.8775	104.5683	1146	896	61.305	47.932	56.12	5.6719	96.9866	102.6585	8	37	17	45	25	75	125	10.6666666667	6.4	0.428	1.9793	0.9094	2.4073	1.3374	4.0121	6.6869	12.31	56.92	69.23	38.46	NA	" JOE THORNTON"	0.106666666666667	0.0401212553495007	24.9244444444444	13.6780487804878	3.28994293865906	38	"F(C)"
"192"	"192"	"NICHUSHKIN"	" VALERI"	"Dallas"	"F(RW)"	79	1000.83	41	35	2.458	2.098	53.95	510	473	8.0392	92.6004	100.6396	997	912	59.77	54.674	52.23	4.1123	96.1623	100.2746	8	19	9	27	17	127	219	6.29921259843	3.65296803653	0.4796	1.1391	0.5396	1.6187	1.0192	7.6137	13.1291	19.51	46.34	65.85	41.46	NA	" VALERI NICHUSHKIN"	0.062992125984252	0.0269776085848746	37.0677777777778	12.6687341772152	2.13123107820509	6	"F(RW)"
"193"	"193"	"PAGEAU"	" JEAN-GABRIEL"	"Ottawa"	"F(C)"	82	1079.17	41	36	2.28	2.002	53.25	480	543	8.5417	93.3702	101.9119	927	1037	51.54	57.656	47.2	4.4229	96.5285	100.9514	8	18	11	26	19	102	175	7.8431372549	4.57142857143	0.4448	1.0008	0.6116	1.4456	1.0564	5.671	9.7297	19.51	43.9	63.41	46.34	NA	" JEAN-GABRIEL PAGEAU"	0.0784313725490196	0.0240925896753987	41.5065384615385	13.1606097560976	1.97559235338269	5	"F(C)"
"194"	"194"	"SANTORELLI"	" MIKE"	"Anaheim"	"F(C)"	70	657.583	18	21	1.642	1.916	46.15	314	297	5.7325	92.9293	98.6618	567	552	51.735	50.366	50.67	3.1746	96.1957	99.3703	8	7	1	15	9	72	120	11.1111111111	6.66666666667	0.7299	0.6387	0.0912	1.3686	0.8212	6.5695	10.9492	44.44	38.89	83.33	50	NA	" MIKE SANTORELLI"	0.111111111111111	0.0228108086735819	43.8388666666667	9.39404285714286	1.59675660715073	-3	"F(C)"
"195"	"195"	"SHEAHAN"	" RILEY"	"Detroit"	"F(C)"	81	937.167	29	38	1.857	2.433	43.28	438	469	6.621	91.8977	98.5187	810	763	51.858	48.849	51.49	3.5802	95.0197	98.5999	8	11	5	19	13	103	169	7.76699029126	4.73372781065	0.5122	0.7043	0.3201	1.2164	0.8323	6.5943	10.8198	27.59	37.93	65.52	44.83	NA	" RILEY SHEAHAN"	0.0776699029126214	0.0202738679445606	49.3245789473684	11.569962962963	1.64218330350941	-9	"F(C)"
"196"	"196"	"SHAW"	" ANDREW"	"Chicago"	"F(C)"	78	956.25	35	23	2.196	1.443	60.34	503	472	6.9583	95.1271	102.0854	939	908	58.918	56.973	50.84	3.7274	97.467	101.1944	8	14	6	22	14	133	241	6.01503759398	3.31950207469	0.502	0.8784	0.3765	1.3804	0.8784	8.3451	15.1216	22.86	40	62.86	40	NA	" ANDREW SHAW"	0.0601503759398496	0.0230065359477124	43.4659090909091	12.2596153846154	1.79450980392157	12	"F(C)"
"197"	"197"	"STASTNY"	" PAUL"	"St. Louis"	"F(C)"	64	914.233	40	34	2.625	2.231	54.05	519	469	7.7071	92.7505	100.4576	949	833	62.282	54.669	53.25	4.215	95.9184	100.1334	8	21	10	29	18	81	139	9.87654320988	5.75539568345	0.525	1.3782	0.6563	1.9032	1.1813	5.3159	9.1224	20	52.5	72.5	45	NA	" PAUL STASTNY"	0.0987654320987654	0.0317205788896266	31.525275862069	14.284890625	2.0301170489361	6	"F(C)"
"198"	"198"	"VERMETTE"	" ANTOINE"	"Arizona"	"F(C)"	76	919.467	33	42	2.153	2.741	44	432	498	7.6389	91.5663	99.2052	807	936	52.661	61.079	46.3	4.0892	95.5128	99.602	8	8	4	16	12	88	139	9.09090909091	5.75539568345	0.522	0.522	0.261	1.0441	0.7831	5.7425	9.0705	24.24	24.24	48.48	36.36	NA	" ANTOINE VERMETTE"	0.0909090909090909	0.0174013858028619	57.4666875	12.09825	1.3225053210175	-9	"F(C)"
"199"	"199"	"DONSKOI"	" JOONAS"	"San Jose"	"F(RW)"	76	934.217	40	32	2.569	2.055	55.56	468	390	8.547	91.7949	100.3419	893	782	57.353	50.224	53.31	4.4793	95.9079	100.3872	8	19	12	27	20	88	157	9.09090909091	5.09554140127	0.5138	1.2203	0.7707	1.7341	1.2845	5.6518	10.0833	20	47.5	67.5	50	NA	" JOONAS DONSKOI"	0.0909090909090909	0.0289012081775433	34.6006296296296	12.2923289473684	2.19649182149329	8	"F(RW)"
"200"	"200"	"MYERS"	" TYLER"	"Winnipeg"	"D"	73	1246.05	43	39	2.071	1.878	52.44	608	589	7.0724	93.3786	100.451	1146	1059	55.182	50.993	51.97	3.7522	96.3173	100.0695	8	13	4	21	12	88	205	9.09090909091	3.90243902439	0.3852	0.626	0.1926	1.0112	0.5778	4.2374	9.8712	18.6	30.23	48.84	27.91	NA	" TYLER MYERS"	0.0909090909090909	0.016853256289876	59.3357142857143	17.0691780821918	1.23028770916095	4	"D"
"201"	"201"	"VAN_RIEMSDYK"	" JAMES"	"Toronto"	"F(LW)"	40	561.633	23	19	2.457	2.03	54.76	298	282	7.7181	93.2624	100.9805	610	507	65.167	54.163	54.61	3.7705	96.2525	100.023	8	8	5	16	13	88	156	9.09090909091	5.12820512821	0.8547	0.8547	0.5342	1.7093	1.3888	9.4012	16.6657	34.78	34.78	69.57	56.52	NA	" JAMES VAN_RIEMSDYK"	0.0909090909090909	0.0284883544948392	35.1020625	14.040825	1.13953417979357	4	"F(LW)"
"202"	"202"	"O_REILLY"	" RYAN"	"Buffalo"	"F(C)"	71	1068.15	35	47	1.966	2.64	42.68	509	521	6.8762	90.9789	97.8551	922	974	51.79	54.711	48.63	3.7961	95.1745	98.9706	8	16	12	24	20	94	147	8.51063829787	5.44217687075	0.4494	0.8988	0.6741	1.3481	1.1234	5.2802	8.2573	22.86	45.71	68.57	57.14	NA	" RYAN O_REILLY"	0.0851063829787234	0.0224687543884286	44.50625	15.0443661971831	1.59528156157843	-12	"F(C)"
"203"	"203"	"STALBERG"	" VIKTOR"	"NY Rangers"	"F(LW)"	75	799.017	28	20	2.103	1.502	58.33	377	402	7.4271	95.0249	102.452	682	756	51.213	56.77	47.43	4.1056	97.3545	101.4601	8	11	5	19	13	112	193	7.14285714286	4.14507772021	0.6007	0.826	0.3755	1.4268	0.9762	8.4103	14.4928	28.57	39.29	67.86	46.43	NA	" VIKTOR STALBERG"	0.0714285714285714	0.023779218714996	42.0535263157895	10.65356	1.7834414036247	8	"F(LW)"
"204"	"204"	"MCCANN"	" JARED"	"Vancouver"	"F(C)"	69	753.933	24	29	1.91	2.308	45.28	359	416	6.6852	93.0288	99.714	659	728	52.445	57.936	47.51	3.6419	96.0165	99.6584	8	6	3	14	11	91	160	8.79120879121	5	0.6367	0.4775	0.2387	1.1142	0.8754	7.242	12.7332	33.33	25	58.33	45.83	NA	" JARED MCCANN"	0.0879120879120879	0.0185692893135066	53.8523571428571	10.9265652173913	1.28128096263196	-5	"F(C)"
"205"	"205"	"BEAGLE"	" JAY"	"Washington"	"F(C)"	57	660.2	19	16	1.727	1.454	54.29	316	314	6.0127	94.9045	100.9172	582	588	52.893	53.438	49.74	3.2646	97.2789	100.5435	8	8	5	16	13	66	109	12.1212121212	7.33944954128	0.7271	0.7271	0.4544	1.4541	1.1815	5.9982	9.9061	42.11	42.11	84.21	68.42	NA	" JAY BEAGLE"	0.121212121212121	0.0242350802787034	41.2625	11.5824561403509	1.3813995758861	3	"F(C)"
"206"	"206"	"VORACEK"	" JAKUB"	"Philadelphia"	"F(RW)"	73	1002.65	36	32	2.154	1.915	52.94	509	501	7.0727	93.6128	100.6855	1004	914	60.081	54.695	52.35	3.5857	96.4989	100.0846	8	19	13	27	21	119	213	6.72268907563	3.7558685446	0.4787	1.137	0.7779	1.6157	1.2567	7.1211	12.7462	22.22	52.78	75	58.33	NA	" JAKUB VORACEK"	0.0672268907563025	0.0269286391063681	37.1351851851852	13.7349315068493	1.96579065476487	4	"F(RW)"
"207"	"207"	"MITCHELL"	" JOHN"	"Colorado"	"F(C)"	71	852.65	22	30	1.548	2.111	42.31	336	450	6.5476	93.3333	99.8809	623	858	43.84	60.376	42.07	3.5313	96.5035	100.0348	8	9	3	17	11	83	136	9.63855421687	5.88235294118	0.563	0.6333	0.2111	1.1963	0.7741	5.8406	9.5702	36.36	40.91	77.27	50	NA	" JOHN MITCHELL"	0.0963855421686747	0.0199378408491175	50.1558823529412	12.0091549295775	1.41558670028734	-8	"F(C)"
"208"	"208"	"TURRIS"	" KYLE"	"Ottawa"	"F(C)"	57	840.033	26	36	1.857	2.571	41.94	392	441	6.6327	91.8367	98.4694	781	794	55.783	56.712	49.59	3.3291	95.466	98.7951	8	9	5	17	13	86	146	9.3023255814	5.47945205479	0.5714	0.6428	0.3571	1.2142	0.9285	6.1426	10.4282	30.77	34.62	65.38	50	NA	" KYLE TURRIS"	0.0930232558139535	0.0202373002013016	49.4137058823529	14.7374210526316	1.15352611147419	-10	"F(C)"
"209"	"209"	"NIELSEN"	" FRANS"	"NY Islanders"	"F(C)"	81	977.517	35	32	2.148	1.964	52.24	491	443	7.1283	92.7765	99.9048	946	900	58.066	55.242	51.25	3.6998	96.4444	100.1442	8	14	9	22	17	119	215	6.72268907563	3.72093023256	0.491	0.8593	0.5524	1.3504	1.0435	7.3042	13.1967	22.86	40	62.86	48.57	NA	" FRANS NIELSEN"	0.0672268907563025	0.0225060024531543	44.4325909090909	12.0681111111111	1.8229861987055	3	"F(C)"
"210"	"210"	"BOYLE"	" BRIAN"	"Tampa Bay"	"F(C)"	76	777.567	25	31	1.929	2.392	44.64	362	333	6.9061	90.6907	97.5968	667	641	51.468	49.462	50.99	3.7481	95.1638	98.9119	8	6	3	14	11	99	177	8.08080808081	4.5197740113	0.6173	0.463	0.2315	1.0803	0.8488	7.6392	13.658	32	24	56	44	NA	" BRIAN BOYLE"	0.0808080808080808	0.0180048793222963	55.5405	10.2311447368421	1.36837082849452	-6	"F(C)"
