"Rank"	"LastName"	"FirstName"	"Team"	"Pos"	"GP"	"TOI"	"GF"	"GA"	"GF60"	"GA60"	"GF."	"SF"	"SA"	"Sh."	"Sv."	"PDO"	"CF"	"CA"	"CF60"	"CA60"	"CF."	"CSh."	"CSv."	"CPDO"	"G"	"A"	"FirstA"	"Pts"	"Pri..Pts"	"Shots"	"iCorsi"	"iSh."	"iCSh."	"Goals.per60"	"Assists.per60"	"FirstA.per60"	"Points.per60"	"Pri.Pts..per60"	"Shots.per60"	"iCorsi.per60"	"IGP"	"IAP"	"IPP"	"IPPP"	"X"	"FirstLast"	"Gratio"	"PtoT"	"AvgPtTime"	"TimePerGame"	"PtsPerGame"	"PlusMin"	"Position"
"12"	"12"	"TOFFOLI"	" TYLER"	"Los Angeles"	"F(C)"	82	1070.35	55	29	3.083	1.626	65.48	606	475	9.0759	93.8947	102.9706	1263	863	70.799	48.377	59.41	4.3547	96.6396	100.9943	20	16	9	36	29	161	329	12.4223602484	6.07902735562	1.1211	0.8969	0.5045	2.018	1.6256	9.0251	18.4426	36.36	29.09	65.45	52.73	NA	" TYLER TOFFOLI"	0.124223602484472	0.0336338580838044	29.7319444444444	13.0530487804878	2.75797636287196	26	"F(C)"
"13"	"13"	"SPEZZA"	" JASON"	"Dallas"	"F(C)"	75	944.683	43	30	2.731	1.905	58.9	560	453	7.6786	93.3775	101.0561	1086	901	68.975	57.226	54.66	3.9595	96.6704	100.6299	20	13	9	33	29	158	302	12.6582278481	6.62251655629	1.2703	0.8257	0.5716	2.0959	1.8419	10.0351	19.181	46.51	30.23	76.74	67.44	NA	" JASON SPEZZA"	0.126582278481013	0.0349323529691971	28.6267575757576	12.5957733333333	2.61992647268978	13	"F(C)"
"14"	"14"	"PERRY"	" COREY"	"Anaheim"	"F(RW)"	82	1148.37	44	38	2.299	1.985	53.66	560	533	7.8571	92.8705	100.7276	1070	1002	55.905	52.353	51.64	4.1121	96.2076	100.3197	19	15	12	34	31	158	287	12.0253164557	6.62020905923	0.9927	0.7837	0.627	1.7764	1.6197	8.2552	14.9952	43.18	34.09	77.27	70.45	NA	" COREY PERRY"	0.120253164556962	0.0296071823541193	33.7755882352941	14.004512195122	2.42778895303778	6	"F(RW)"
"15"	"15"	"GALCHENYUK"	" ALEX"	"Montreal"	"F(C)"	82	1043.7	51	44	2.932	2.529	53.68	573	506	8.9005	91.3044	100.2049	1086	959	62.432	55.131	53.11	4.6961	95.4119	100.108	19	17	9	36	28	148	250	12.8378378378	7.6	1.0923	0.9773	0.5174	2.0696	1.6097	8.5082	14.3719	37.25	33.33	70.59	54.9	NA	" ALEX GALCHENYUK"	0.128378378378378	0.0344926703075596	28.9916666666667	12.7280487804878	2.82839896521989	7	"F(C)"
"16"	"16"	"KESSEL"	" PHIL"	"Pittsburgh"	"F(C)"	82	1131	54	40	2.865	2.122	57.45	648	566	8.3333	92.9329	101.2662	1153	994	61.167	52.732	53.7	4.6834	95.9759	100.6593	19	18	12	37	31	183	315	10.3825136612	6.03174603175	1.008	0.9549	0.6366	1.9629	1.6446	9.7082	16.7109	35.19	33.33	68.52	57.41	NA	" PHIL KESSEL"	0.103825136612022	0.0327144120247569	30.5675675675676	13.7926829268293	2.68258178603006	14	"F(C)"
"17"	"17"	"SKINNER"	" JEFF"	"Carolina"	"F(C)"	82	1110.13	48	45	2.594	2.432	51.61	550	545	8.7273	91.7431	100.4704	1034	1002	55.885	54.156	50.79	4.6422	95.509	100.1512	19	19	17	38	36	194	333	9.79381443299	5.70570570571	1.0269	1.0269	0.9188	2.0538	1.9457	10.4852	17.9978	39.58	39.58	79.17	75	NA	" JEFF SKINNER"	0.0979381443298969	0.0342302252889301	29.2139473684211	13.5381707317073	2.80687847369227	3	"F(C)"
"18"	"18"	"MONAHAN"	" SEAN"	"Calgary"	"F(C)"	81	1135.13	56	52	2.96	2.749	51.85	548	544	10.219	90.4412	100.6602	1011	1079	53.439	57.033	48.37	5.5391	95.1807	100.7198	19	18	11	37	30	134	230	14.1791044776	8.26086956522	1.0043	0.9514	0.5814	1.9557	1.5857	7.0829	12.1572	33.93	32.14	66.07	53.57	NA	" SEAN MONAHAN"	0.141791044776119	0.0325953855505537	30.6791891891892	14.013950617284	2.64022622959485	4	"F(C)"
"19"	"19"	"JENNER"	" BOONE"	"Columbus"	"F(C)"	82	1123.53	41	51	2.19	2.724	44.57	571	595	7.1804	91.4286	98.609	994	1135	53.083	60.612	46.69	4.1247	95.5066	99.6313	19	12	7	31	26	173	270	10.9826589595	7.03703703704	1.0147	0.6408	0.3738	1.6555	1.3885	9.2387	14.4188	46.34	29.27	75.61	63.41	NA	" BOONE JENNER"	0.109826589595376	0.0275916085907808	36.2429032258065	13.7015853658537	2.26251190444403	-10	"F(C)"
"20"	"20"	"TROCHECK"	" VINCENT"	"Florida"	"F(C)"	76	1018.88	49	31	2.886	1.826	61.25	493	471	9.9391	93.4183	103.3574	878	834	51.704	49.113	51.29	5.5809	96.283	101.8639	19	18	13	37	32	123	214	15.4471544715	8.8785046729	1.1189	1.06	0.7655	2.1789	1.8844	7.2432	12.602	38.78	36.73	75.51	65.31	NA	" VINCENT TROCHECK"	0.154471544715447	0.0363143844221106	27.5372972972973	13.4063157894737	2.7598932160804	18	"F(C)"
"21"	"21"	"MARCHAND"	" BRAD"	"Boston"	"F(C)"	77	1077.82	54	36	3.006	2.004	60	676	522	7.9882	93.1034	101.0916	1169	960	65.076	53.441	54.91	4.6193	96.25	100.8693	19	17	11	36	30	189	297	10.0529100529	6.39730639731	1.0577	0.9464	0.6123	2.0041	1.67	10.5213	16.5334	35.19	31.48	66.67	55.56	NA	" BRAD MARCHAND"	0.100529100529101	0.0334007533725483	29.9394444444444	13.9976623376623	2.57185800968622	18	"F(C)"
